EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,eval_traj_length,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,new_actions/mean_Mean,new_actions/mean_Std,new_actions/mean_Max,new_actions/mean_Min,new_actions/std_Mean,new_actions/std_Std,new_actions/std_Max,new_actions/std_Min,new_actions/max_Mean,new_actions/max_Std,new_actions/max_Max,new_actions/max_Min,new_actions/min_Mean,new_actions/min_Std,new_actions/min_Max,new_actions/min_Min
32,33.23266315460205,129000,-1042.93616,-130.51216,nan,3.19945,10.54229,19.49078,5000.00000,-0.09176,0.02115,-0.03382,-0.17996,0.21558,0.15556,4.54552,0.09959,0.21410,0.15681,4.53269,0.08873,-51.25245,1.01226,-48.02239,-53.63721,-0.17382,0.02340,-0.10329,-0.25117,0.85485,0.01376,0.88978,0.81534,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
33,31.453744173049927,132000,-985.64862,-142.62852,nan,3.27752,10.05749,18.11854,3204.50000,-0.09178,0.02144,-0.03329,-0.17054,0.19669,0.21932,4.89877,0.08067,0.19474,0.22069,4.97438,0.07690,-51.03413,1.00247,-47.78008,-53.62290,-0.17345,0.02362,-0.10221,-0.25722,0.85731,0.01371,0.90069,0.81294,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
34,32.351722955703735,135000,-1221.13188,-105.03674,nan,2.95417,10.89405,18.50335,5000.00000,-0.08955,0.02163,-0.03085,-0.17735,0.19131,0.21830,4.88482,0.08034,0.18880,0.21811,4.83675,0.07252,-50.75248,1.04605,-47.64409,-53.86079,-0.19660,0.02462,-0.13073,-0.27677,0.84665,0.01432,0.88464,0.81049,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
35,32.30686116218567,138000,-1084.82009,-886.57953,nan,3.22102,10.16593,18.91971,5000.00000,-0.09209,0.02141,-0.03770,-0.16380,0.23853,0.28461,5.30798,0.08443,0.22928,0.28464,5.35402,0.08042,-50.49242,1.02963,-47.46668,-53.64748,-0.22435,0.02521,-0.13364,-0.29618,0.84050,0.01427,0.87873,0.79363,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
36,32.27552819252014,141000,-840.08905,-716.42995,nan,3.19879,10.26999,18.80658,5000.00000,-0.09695,0.02168,-0.03219,-0.18502,0.25865,0.41783,6.22696,0.09106,0.25750,0.41345,6.24354,0.09586,-50.63222,0.96674,-47.35503,-53.04572,-0.21152,0.02916,-0.11475,-0.31267,0.86222,0.01453,0.90756,0.81583,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
37,32.43617558479309,144000,-871.74975,-391.90998,nan,3.24493,10.23790,18.95319,5000.00000,-0.09741,0.02137,-0.03458,-0.17600,0.22429,0.38136,6.31477,0.08390,0.22358,0.38394,6.35096,0.07421,-50.93709,0.82910,-48.53985,-53.32506,-0.17267,0.02184,-0.10912,-0.23645,0.88797,0.00894,0.91191,0.85873,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
38,32.87922644615173,147000,-884.28302,-257.52329,nan,3.18507,10.68449,19.00947,3352.50000,-0.09611,0.02108,-0.04575,-0.17085,0.19680,0.22253,6.63396,0.07719,0.19440,0.22518,6.70577,0.08664,-51.25569,0.74765,-48.88093,-53.34893,-0.17398,0.02152,-0.11912,-0.23941,0.88634,0.00814,0.90785,0.86457,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
39,32.765087842941284,150000,-742.82348,-196.38942,nan,3.14935,10.60057,19.01499,5000.00000,-0.09632,0.02125,-0.04359,-0.16279,0.19707,0.21811,6.22504,0.07593,0.19220,0.21587,6.08836,0.05767,-51.23486,0.70811,-48.86511,-53.01567,-0.20213,0.02197,-0.13186,-0.27715,0.87768,0.01081,0.91171,0.84735,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
40,32.40453100204468,153000,-779.10183,-211.04610,nan,3.19713,10.04430,19.16295,4839.25000,-0.09627,0.02146,-0.03880,-0.16250,0.18149,0.10994,2.30384,0.07936,0.16983,0.10790,2.31964,0.06603,-51.06242,0.66284,-49.03564,-53.17208,-0.21726,0.02187,-0.16306,-0.28399,0.86322,0.01417,0.89968,0.81735,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
41,31.781274557113647,156000,-428.07409,-279.43686,nan,3.49005,10.30276,17.98827,2071.50000,-0.09619,0.02057,-0.03688,-0.16116,0.22218,0.39903,5.87449,0.08282,0.21758,0.39495,5.72186,0.07889,-50.69342,0.58921,-48.68935,-52.12157,-0.23614,0.02666,-0.14065,-0.32068,0.87117,0.01258,0.90426,0.81945,1.00000,0.00000,1.00000,1.00000,-1.00000,0.00000,-1.00000,-1.00000
